223,,Canada West Coast_126,,FALSE,,0,,,Ephemeral stream,"Debris flow and turbidity current channels, gullies and lobes"
224,,Canada West Coast_127,,FALSE,,0,,,Ephemeral stream,"Debris flow and turbidity current channels, gullies and lobes"
225,,Canada West Coast_128,,FALSE,,0,,,Good example of a ephemeral stream; long channel to cone,Fan delta
226,,Canada West Coast_129,,FALSE,,0,,,Small cone ,Cone
227,,Canada West Coast_130,,FALSE,,0,,,Good example of a large fan delta,Fan delta
228,,Canada West Coast_131,,FALSE,,0,,,Old slide ,Submarine alluvial fan/composite slide
229,,Canada West Coast_132,,FALSE,,0,,,Several old slides,Submarine alluvial fan/composite slide
230,,Canada West Coast_133,,FALSE,,0,,,,Fan delta
231,,Canada West Coast_134,,FALSE,,0,,,,Fan delta
232,,Canada West Coast_135,,FALSE,,0,,,,Fan delta
233,,Canada West Coast_136,,FALSE,,0,,,,Submarine alluvial fan/composite slide
234,,Canada West Coast_137,,FALSE,,0,,,,Submarine alluvial fan/composite slide
235,,Canada West Coast_138,,FALSE,,0,,,,Submarine alluvial fan/composite slide
236,,Canada West Coast_139,,FALSE,,0,,,,Fan delta
237,,Canada West Coast_140,,FALSE,,0,,,,Submarine alluvial fan/composite slide
238,,Canada West Coast_141,,FALSE,,0,,,There are several old slide in this area.,Undifferentiated slide
239,,Canada West Coast_142,,FALSE,,0,,,,Rock avalanche
240,,Canada West Coast_143,,FALSE,,0,,,,Submarine alluvial fan/composite slide
241,,Canada West Coast_144,,FALSE,,0,,,Good example of an old scar - buried deposit,Translational slide
242,,Canada West Coast_145,,FALSE,,0,,,,Submarine alluvial fan/composite slide
243,,Canada West Coast_146,,FALSE,,0,,,Ephemeral stream,Submarine alluvial fan/composite slide
244,,Canada West Coast_147,,FALSE,,0,,,This is an old slide with old sediment draped,Undifferentiated slide
245,,Canada West Coast_148,,FALSE,,0,,,Alluvial apron,Submarine alluvial fan/composite slide
246,,Canada West Coast_149,,FALSE,,0,,,Alluvial apron,Submarine alluvial fan/composite slide
247,,Canada West Coast_150,,FALSE,,0,,,Example of a large fan delta,Fan delta
248,,Canada West Coast_151,,FALSE,,0,,,Slide with minor alluvial feature,Submarine alluvial fan/composite slide
249,,Canada West Coast_152,,FALSE,,0,,,This is an old slide,Translational slide
250,,Canada West Coast_153,,FALSE,,0,,,,Fan delta
251,,Canada West Coast_154,,FALSE,,0,,,,Fan delta
252,,Canada West Coast_155,,FALSE,,0,,,,Submarine alluvial fan/composite slide
253,,Canada West Coast_156,,FALSE,,0,,,,Fan delta
254,,Canada West Coast_157,,FALSE,,0,,,,Fan delta
255,,Canada West Coast_158,,FALSE,,0,,,,Fan delta
256,,Canada West Coast_159,,FALSE,,0,,,On an alluvial fan with channels,Submarine alluvial fan/composite slide
257,,Canada West Coast_160,,FALSE,,0,,,Appear toindicate tidal transport,Submarine alluvial fan/composite slide
258,,Canada West Coast_161,,FALSE,,0,,,Alluvial apron,Submarine alluvial fan/composite slide
259,,Canada West Coast_162,,FALSE,,0,,,Ephemeral stream,Fan delta
260,,Canada West Coast_163,,FALSE,,0,,,,Cone
261,,Canada West Coast_164,,FALSE,,0,,,,Cone
262,,Canada West Coast_165,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
263,,Canada West Coast_166,,FALSE,,0,,,Good example of a very large translational slide,Translational slide
264,,Canada West Coast_167,,FALSE,,0,,,Good example of a very large fan delta,Fan delta
